"us_cit","disability","gender","black","marriage_sit","education","birth_12m","native_eng","worker_type","earnings","hours","children","age","fullownership"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",87000,34,0,52,"yes"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",65000,50,0,41,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",75000,40,0,60,"no"
"no","not disabled","female","non-black","Separated/divorced",16,"no","no","private, non profit",40000,40,2,41,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","self_employed",80000,5,1,59,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",150000,40,4,39,"no"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",42000,35,0,49,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",54000,40,0,52,"yes"
"yes","not disabled","male","non-black","Separated/divorced",17,"no","yes","private, profit",57000,48,0,63,"no"
"yes","disabled","female","non-black","married",21,"no","yes","private, profit",32000,40,0,52,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",88000,40,2,40,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, non profit",95000,48,0,56,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, profit",108000,40,0,43,"no"
"yes","disabled","female","non-black","Separated/divorced",23,"no","yes","public",59000,40,0,42,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",100000,45,0,52,"no"
"yes","not disabled","male","non-black","never married",17,"no","yes","self_employed",10000,30,NA,45,"no"
"no","not disabled","female","non-black","Separated/divorced",21,"no","no","private, profit",28000,40,0,50,"no"
"yes","not disabled","female","non-black","never married",20,"no","yes","public",43900,40,0,31,"yes"
"yes","disabled","female","non-black","married",22,"no","yes","private, profit",20000,40,0,40,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",22000,40,0,54,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",37000,40,1,54,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",80000,15,2,34,"no"
"no","not disabled","male","black","married",1,"no","yes","private, profit",165000,40,2,43,"no"
"no","not disabled","female","non-black","married",18,"no","no","private, profit",2000,10,1,45,"yes"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",90000,40,2,55,"no"
"no","not disabled","male","non-black","never married",20,"no","no","private, profit",20400,18,0,25,"no"
"no","disabled","female","non-black","widowned",1,"no","yes","private, profit",19200,70,0,64,"no"
"yes","not disabled","female","non-black","widowned",16,"no","yes","public",9500,20,0,67,"no"
"yes","not disabled","female","black","never married",15,"no","yes","private, profit",10000,40,NA,30,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","self_employed",130,25,0,61,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",70000,40,1,29,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","public",105000,40,0,52,"no"
"yes","not disabled","male","non-black","married",16,"no","no","private, profit",22500,35,3,26,"no"
"yes","not disabled","male","non-black","married",23,"no","yes","public",43000,40,0,54,"no"
"no","not disabled","female","non-black","Separated/divorced",11,"no","no","private, profit",19800,8,0,47,"no"
"yes","not disabled","female","black","married",21,"no","yes","private, profit",80000,40,0,46,"yes"
"yes","not disabled","male","non-black","married",22,"no","yes","public",93000,40,0,36,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",75000,40,2,34,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",45000,40,0,29,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, non profit",70000,40,0,39,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","public",87000,40,0,26,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","public",69000,40,0,32,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",30000,40,1,41,"no"
"yes","not disabled","male","non-black","never married",18,"no","yes","private, profit",15000,37,0,47,"yes"
"yes","disabled","male","non-black","married",14,"no","yes","private, profit",80000,50,0,51,"no"
"yes","not disabled","female","non-black","married",21,"yes","yes","private, profit",50000,40,2,33,"no"
"yes","not disabled","male","non-black","married",24,"no","yes","public",50000,40,0,39,"yes"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, profit",11200,30,0,57,"no"
"no","not disabled","male","non-black","married",17,"no","no","private, profit",38000,40,0,66,"yes"
"yes","not disabled","female","black","Separated/divorced",21,"no","yes","private, non profit",70000,40,1,43,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",75000,36,2,43,"yes"
"yes","disabled","female","non-black","married",23,"no","yes","private, non profit",31000,40,0,34,"no"
"yes","not disabled","female","non-black","never married",17,"no","yes","private, profit",15300,25,2,28,"yes"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",16000,32,0,34,"yes"
"yes","not disabled","male","non-black","married",22,"no","yes","public",100000,40,0,51,"no"
"yes","not disabled","male","non-black","never married",19,"no","yes","private, profit",86000,45,0,27,"no"
"yes","not disabled","male","non-black","married",21,"no","no","private, profit",97000,60,0,57,"no"
"yes","disabled","female","non-black","married",18,"no","yes","public",21700,40,2,37,"yes"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",31200,84,1,37,"no"
"yes","not disabled","male","non-black","married",14,"no","yes","private, profit",42000,40,0,60,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, non profit",145000,2,0,53,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",50000,40,2,53,"no"
"yes","not disabled","female","non-black","Separated/divorced",19,"no","yes","private, non profit",56000,50,0,52,"no"
"yes","not disabled","female","non-black","married",17,"no","yes","private, non profit",14700,20,0,47,"yes"
"yes","not disabled","female","non-black","never married",16,"no","yes","private, profit",30000,40,0,45,"no"
"yes","not disabled","female","non-black","married",23,"no","yes","private, profit",527000,40,0,64,"no"
"yes","not disabled","male","non-black","widowned",20,"no","yes","private, non profit",54000,40,0,55,"no"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",12000,32,0,64,"yes"
"no","not disabled","female","non-black","married",22,"no","no","private, profit",86000,40,3,38,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",300000,60,0,42,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",25000,30,0,59,"yes"
"no","not disabled","female","non-black","Separated/divorced",15,"no","no","self_employed",20000,40,0,60,"no"
"yes","not disabled","female","non-black","married",17,"no","yes","private, profit",30000,40,0,43,"no"
"no","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, non profit",118000,36,0,47,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",9500,12,0,62,"yes"
"yes","not disabled","female","black","married",19,"no","yes","private, profit",25000,40,0,52,"no"
"yes","not disabled","female","black","married",22,"no","yes","public",98000,40,0,56,"no"
"yes","not disabled","female","non-black","never married",16,"no","yes","private, profit",2000,16,0,32,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",217000,40,0,57,"no"
"yes","not disabled","male","non-black","Separated/divorced",22,"no","yes","private, profit",63000,40,0,59,"no"
"no","not disabled","male","non-black","married",20,"no","yes","private, profit",150000,40,0,63,"yes"
"no","not disabled","female","non-black","married",22,"yes","no","private, profit",38000,40,2,31,"no"
"yes","disabled","male","black","Separated/divorced",14,"no","yes","public",4700,20,NA,56,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",36000,40,2,29,"no"
"yes","not disabled","male","black","never married",21,"no","yes","private, profit",200000,40,0,39,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","public",70000,50,0,43,"yes"
"yes","not disabled","male","black","Separated/divorced",16,"no","yes","private, profit",185000,45,0,51,"no"
"no","not disabled","female","non-black","married",22,"no","yes","private, non profit",78000,45,0,63,"no"
"yes","not disabled","male","black","married",16,"no","yes","private, profit",40000,40,2,31,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","public",100000,40,0,44,"no"
"no","not disabled","female","non-black","married",23,"no","no","public",246000,40,0,62,"no"
"yes","not disabled","female","black","married",19,"no","yes","private, profit",95000,45,0,45,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",40000,50,0,32,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",144000,40,1,51,"no"
"yes","not disabled","female","non-black","never married",21,"no","no","private, non profit",90000,40,NA,31,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",200000,40,0,63,"yes"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, non profit",35000,40,0,26,"no"
"yes","disabled","male","non-black","never married",16,"no","yes","private, profit",35000,40,0,62,"yes"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",20000,40,0,44,"no"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",52000,40,0,29,"no"
"yes","not disabled","male","non-black","married",15,"no","yes","public",25000,35,0,66,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",60000,50,0,56,"yes"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",52000,20,0,58,"no"
"yes","not disabled","female","non-black","married",15,"no","yes","private, profit",25000,40,0,45,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, non profit",60000,50,0,35,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",57000,40,1,32,"no"
"yes","not disabled","male","non-black","Separated/divorced",20,"no","yes","private, profit",35000,40,0,63,"yes"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, non profit",100000,48,0,38,"no"
"yes","not disabled","female","black","Separated/divorced",16,"no","yes","private, profit",58000,48,0,58,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",160000,40,0,28,"no"
"yes","not disabled","male","black","never married",16,"no","yes","private, profit",27000,40,1,28,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",30000,30,1,38,"no"
"no","not disabled","male","non-black","married",19,"no","no","private, profit",28500,40,2,44,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",82000,50,0,55,"no"
"yes","disabled","female","non-black","married",15,"no","yes","private, profit",32000,40,0,61,"no"
"yes","not disabled","female","non-black","Separated/divorced",13,"no","yes","private, profit",43700,40,0,63,"no"
"yes","disabled","male","non-black","Separated/divorced",18,"no","yes","private, profit",30000,40,0,53,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",50000,40,0,47,"no"
"yes","not disabled","female","black","never married",22,"no","no","private, profit",50000,40,0,29,"no"
"yes","not disabled","female","black","married",21,"no","yes","public",45000,40,2,48,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","private, profit",115000,32,0,66,"no"
"yes","not disabled","female","black","married",16,"no","yes","private, profit",85000,40,0,42,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",35000,40,0,34,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",35000,40,0,43,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",115000,40,0,61,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",130000,40,1,35,"no"
"yes","disabled","female","black","Separated/divorced",22,"no","yes","public",5000,40,0,54,"no"
"yes","not disabled","male","non-black","never married",17,"no","yes","public",270,25,NA,30,"no"
"yes","not disabled","male","black","never married",15,"no","yes","private, profit",50000,40,2,40,"no"
"yes","not disabled","male","non-black","married",12,"no","yes","private, profit",40000,47,0,63,"no"
"no","not disabled","male","non-black","married",22,"no","no","private, profit",157000,40,2,34,"no"
"yes","not disabled","female","black","never married",19,"no","yes","private, profit",88000,36,0,56,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",60000,40,0,51,"no"
"yes","not disabled","male","non-black","widowned",16,"no","yes","private, profit",42000,40,0,51,"yes"
"yes","not disabled","male","non-black","married",13,"no","yes","private, profit",17000,45,1,43,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",62000,50,2,38,"no"
"no","not disabled","female","non-black","married",19,"no","no","public",60000,55,1,47,"no"
"yes","disabled","male","non-black","married",20,"no","yes","private, profit",38000,32,0,67,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",215000,45,0,55,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",141000,40,0,29,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",190000,35,2,61,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, non profit",120000,40,2,36,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",3200,20,2,40,"no"
"yes","not disabled","male","black","never married",12,"no","yes","private, profit",14800,53,NA,34,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",30000,40,1,30,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",55000,45,3,40,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",100000,40,2,45,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",60000,40,0,41,"no"
"yes","not disabled","male","non-black","never married",17,"no","yes","private, profit",19200,30,0,40,"no"
"no","not disabled","male","non-black","married",20,"no","no","self_employed",25000,45,4,42,"yes"
"no","not disabled","female","non-black","never married",16,"no","no","private, profit",35000,40,1,42,"no"
"no","not disabled","female","non-black","never married",16,"no","yes","private, profit",90000,25,0,35,"no"
"yes","not disabled","female","black","never married",16,"no","yes","public",2400,15,0,61,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",25000,40,0,49,"yes"
"no","not disabled","male","non-black","married",1,"no","no","private, non profit",9000,35,1,47,"yes"
"yes","not disabled","female","non-black","Separated/divorced",22,"no","yes","private, profit",75000,40,0,33,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","self_employed",60000,50,2,37,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",118000,38,1,49,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",2000,25,0,67,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",85000,40,0,53,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",62000,60,0,26,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",29000,35,1,40,"yes"
